timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-24 20:00:00,Is it all ok ? #coronavirus #SARSCoV2 #COVID #COVID19 #China #wuhan #冠状病毒 #coronavirus #CoronavirusOutbreak #Wuhan #coronaviruschina #coronavirusaustralia,Esmerda9,"['coronavirus', 'SARSCoV2', 'COVID', 'COVID19', 'China', 'wuhan', '冠状病毒', 'coronavirus', 'CoronavirusOutbreak', 'Wuhan', 'coronaviruschina', 'coronavirusaustralia']",1135,,684,False,,1,0
2020-02-24 20:00:00,A tip to prevent yourself from getting infected #coronavirus #CoronavirusOutbreak #Wuhan #coronaviruschina #coronavirusaustralia #CoronaVirusCanada,PrimitiveTube,"['coronavirus', 'CoronavirusOutbreak', 'Wuhan', 'coronaviruschina', 'coronavirusaustralia', 'CoronaVirusCanada']",131,Cambodia,264,False,,0,0
2020-02-24 19:59:22,Block the border Jacinda Arden. Stop putting money over people. First case of Coronavirus in New Zealand. Government dragging feet. #Unelected #unwed #unethical #BatVirus #Coronavirus #Wuhan #ArdernMustGo #CIA #Auckland #NewZealand #pandemic  #Iran #batvirus #coronavirus #COVID19 https://t.co/Xb2DSSjzAU,comms24_c24,"['Unelected', 'unwed', 'unethical', 'BatVirus', 'Coronavirus', 'Wuhan', 'ArdernMustGo', 'CIA', 'Auckland', 'NewZealand', 'pandemic', 'Iran', 'batvirus', 'coronavirus', 'COVID19']",371,,28479,False,,0,0
2020-02-24 19:56:21,hahahah!!! lololz😂🤣 #china warning their citizens against travel to the US... are they out of their minds?? their lab experiment escapes they warn about the US... Xi got jokes  #Coronavirus #wuhan #asia #stocks #investing #investments #bonds #investors #travel https://t.co/JZVIcLo1Yn,QContrarian,"['china', 'Coronavirus', 'wuhan', 'asia', 'stocks', 'investing', 'investments', 'bonds', 'investors', 'travel']",712,United States,9276,False,,2,0
2020-02-24 19:53:00,"The U.S. Centers for Disease Control and Prevention (#CDC) said on Monday there were 14 confirmed cases of the #coronavirus in the country, apart from the 39 cases among those evacuated from the #DiamondPrincess cruise ship and the city of #Wuhan in #China https://t.co/UQiPaKCFOI https://t.co/GSAUmfLIGU",Atlantide4world,"['CDC', 'coronavirus', 'DiamondPrincess', 'Wuhan', 'China']",1646,,21039,False,,0,0
2020-02-24 19:52:12,Mongoose: Is Angela Merkel the Agent and Is Webasto the Root Super-Spreader from 11 September 2019 -- a 9/11 Anniversary -- When She Visited Wuhan to Open the Factory and Kick off the BioWar on China? https://t.co/MSYflaaPhP #wuhanvirus #wuhan #coronavirus #biowar #biowarfare,OSSRobertSteele,"['wuhanvirus', 'wuhan', 'coronavirus', 'biowar', 'biowarfare']",474,,984,False,,1,1
2020-02-24 19:49:11,"@WilliamYang120 @WHO Williams, so, is #COVID19 = #SARSCOV2 = #WuhanCoronavirus?   + #wuhan, #coronavirus",CuttingCorn,"['COVID19', 'SARSCOV2', 'WuhanCoronavirus', 'wuhan', 'coronavirus']",772,,5673,False,,0,1
2020-02-24 19:46:48,"Wld #China /oths, hv means/MOTIVE/opportunity 2 release #coronavirus #COVID19 #nCoV19 #SARSCoV2 in #Wuhan &amp;/OR have it appear as something it isnt? I’ve ?’d this/tweeted abt it several times in past wks. Article contains MMO &amp; 3x uses #CONTAGION! 10/4/19   https://t.co/1zPOBCmIbS https://t.co/bVvGU2z8tc",backintherock12,"['China', 'coronavirus', 'COVID19', 'nCoV19', 'SARSCoV2', 'Wuhan', 'CONTAGION']",580,#TheTwilightZone,5155,False,,1,0
2020-02-24 19:43:02,"Don’t panic! Be proactive and buy a filtration mask. You might not need it at the moment, but spending $20 now is a minor investment for safety for when you will. #beSMART #armorUP #wuhan #coronavirus #covid19 #CDC #WHO #cnbc #wsj #losangeles #newyork #DONTtouchYOURface https://t.co/jmKZjQR11W",IAMIRONMAN7,"['beSMART', 'armorUP', 'wuhan', 'coronavirus', 'covid19', 'CDC', 'WHO', 'cnbc', 'wsj', 'losangeles', 'newyork', 'DONTtouchYOURface']",299,"Huntington Beach, CA",188,False,,5,3
2020-02-24 19:40:01,Artificial Intelligence could fight a future Coronavirus - https://t.co/biANvc5ibu - https://t.co/X8J0yD4xDU #Coronavirus #Wuhan #AI #ML #Flu,switchboardsoft,"['Coronavirus', 'Wuhan', 'AI', 'ML', 'Flu']",2000,"San Francisco, CA",484,False,,1,0
