tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
RT @IndoPac_Info: #coronavirus Update:   #France - 43 new cases today - New total 100 cases &amp; 2 dead  #Italy - 239 new cases &amp; 8 new deaths…,mwangDF,"40.752545,-74.214898",0,60,394,2494,2020-03-01 05:59:44,False,,"#coronavirus, #France, #Italy"
RT @CDCgov: #CDCTRAVELNOTICE: #Coronavirus in #Italy and #Iran. CDC recommends avoiding all nonessential travel to Italy and Iran. More inf…,touzani_hind,,0,648,26,528,2020-03-01 05:58:22,False,,"#CDCTRAVELNOTICE, #Coronavirus, #Italy, #Iran"
"At least 1,049 people have been infected with the #coronavirus in #Italy, while the overall death toll has increase… https://t.co/1Y2VhkxIJJ",ians_india,New Delhi,2,1,30933,197011,2020-03-01 05:58:14,True,,"#coronavirus, #Italy"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,mediaservishr,"Avenija V.Holjevca 29, Zagreb",0,352,5157,12891,2020-03-01 05:58:10,False,,"#Italy, #COVID19"
RT @Apex_WW: #Coronavirus: Italian economy takes a body blow  #Italy #COVID19  https://t.co/owMXygxRNa,ModeratorDefcon,europe,0,8,4881,22127,2020-03-01 05:57:22,False,,"#Coronavirus, #Italy, #COVID19"
RT @W7VOA: #Italy says death toll of patients who tested positive for #coronavirus rises from eight to 29.,HaseebKahlon,,0,174,103,3341,2020-03-01 05:57:19,False,,"#Italy, #coronavirus"
#Netflix looks for a location outside #Italy to shoot part of #DwayneJohnson's 'Red Notice' due to #Coronavirus out… https://t.co/KQMIVmemzh,DubaiOneTV,Dubai,0,0,135897,25029,2020-03-01 05:56:51,True,,"#Netflix, #Italy, #DwayneJohnson, #Coronavirus"
RT @CDCgov: #CDCTRAVELNOTICE: #Coronavirus in #Italy and #Iran. CDC recommends avoiding all nonessential travel to Italy and Iran. More inf…,chappie2010,Waikiki,0,648,2025,179689,2020-03-01 05:55:38,False,,"#CDCTRAVELNOTICE, #Coronavirus, #Italy, #Iran"
"RT @RT_com: #Coronavirus death toll in #Italy jumps to 29 as number of infected passes 1,000   https://t.co/NbZkAiAhxC https://t.co/uQhdadw…",OstadVahid,,0,59,157,3543,2020-03-01 05:55:23,False,,"#Coronavirus, #Italy"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,DJIAirButterfly,"Rome, Lazio",0,352,19,341,2020-03-01 05:55:08,False,,"#Italy, #COVID19"
