tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
"RT @AlArabiya_Eng: Luxembourg announces its first case of infection by the new #coronavirus, a man who recently returned from #Italy, says…",laurenrajczak,,0,8,896,107680,2020-03-01 08:22:26,False,,"#coronavirus, #Italy"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,Aleins19051201,,0,397,29,33028,2020-03-01 08:20:01,False,,"#Italy, #COVID19"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,quantum1021,earth,0,397,56,33410,2020-03-01 08:19:56,False,,"#Italy, #COVID19"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,Paulieffect1021,,0,397,5,5801,2020-03-01 08:19:51,False,,"#Italy, #COVID19"
#Coronavirus Outbreak - #Turkish #Airlines stops all flights to #Italy  https://t.co/DNwNGfNbVF #covit19… https://t.co/jBw3FH461R,buhalis,Internet,2,0,5824,39194,2020-03-01 08:19:20,False,,"#Coronavirus, #Turkish, #Airlines, #Italy, #covit19"
Coronavirus: Italian economy takes a body blow | @scoopit https://t.co/mM8G9aGEO0 #coronavirus #Italy #recession,1973GJWEcon,,0,0,217,16614,2020-03-01 08:18:39,False,,"#coronavirus, #Italy, #recession"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,Kylin73030047,,0,397,4,12,2020-03-01 08:16:32,False,,"#Italy, #COVID19"
"RT @IndoPac_Info: #coronavirus Worldwide Case Count:   Just updated: New cases in 33 countries  New deaths in #USA, #Italy, #Japan &amp; #Austr…",LibraAlvin,Makati City,0,54,96,14461,2020-03-01 08:15:53,False,,"#coronavirus, #USA, #Italy, #Japan"
"RT @JohnnyJet: American Airlines is suspending operations to and from Milan, Italy, and New York (JFK) and Miami (MIA). Flights to Milan ar…",georgesrudas,"Paris, France",0,16,1997,3501,2020-03-01 08:15:09,False,,
Thanks to our inept #italiangovernment and an incredible number of irresponsible #Journalists our #economy is crash… https://t.co/HHQvkTaHv0,aerofede,"Gazzada, Italy",2,0,691,21925,2020-03-01 08:14:48,False,,"#italiangovernment, #Journalists, #economy"
RT @statedeptspox: The United States fully supports and stands by #Italy as it faces a significant number of #coronavirus cases. @CDCgov an…,sfxcterry11,,0,77,231,8349,2020-03-01 08:14:38,False,,"#Italy, #coronavirus"
"RT @IndoPac_Info: #coronavirus Worldwide Case Count:   Just updated: New cases in 33 countries  New deaths in #USA, #Italy, #Japan &amp; #Austr…",rrosales1975,Quito-Ecuador,0,54,569,8639,2020-03-01 08:14:26,False,,"#coronavirus, #USA, #Italy, #Japan"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,DrAnneMurphy,,0,397,3056,76872,2020-03-01 08:09:55,False,,"#Italy, #COVID19"
If this is the media coverage abroad on #coronavirus &amp; #italy there is no surprise that everybody think we deserve… https://t.co/ROWv8xj9Er,ValerioDeMolli,Milano,5,2,7336,25526,2020-03-01 08:09:49,False,,"#coronavirus, #italy"
RT @SayChrisLive: Here’s a first: the entire high-speed train car to myself. Italians aren’t taking any chances with #coronavirus #covid19…,okapifilm,,0,7,623,1277,2020-03-01 08:08:57,False,,"#coronavirus, #covid19"
RT @CDCtravel: #CDCTRAVELNOTICE: #Coronavirus in #Italy and #Iran. CDC recommends avoiding all nonessential travel to Italy and Iran. More…,lucky_mesjahja,Halcyon of me ,0,296,108,337869,2020-03-01 08:07:16,False,,"#CDCTRAVELNOTICE, #Coronavirus, #Italy, #Iran"
"RT @BeholdIsrael: Stadiums, museums and other popular destinations throughout #Italy remain deserted as #coronavirus fears continue to para…",dsrved759,,0,69,1296,53163,2020-03-01 08:07:02,False,,"#Italy, #coronavirus"
"RT @IndoPac_Info: #coronavirus Worldwide Case Count:   Just updated: New cases in 33 countries  New deaths in #USA, #Italy, #Japan &amp; #Austr…",redmoon0088,Japan🇯🇵,0,54,202,95165,2020-03-01 08:05:09,False,,"#coronavirus, #USA, #Italy, #Japan"
"RT @IndoPac_Info: #coronavirus Worldwide Case Count:   Just updated: New cases in 33 countries  New deaths in #USA, #Italy, #Japan &amp; #Austr…",apriliadwia,Sawangan - Indonesia,0,54,56,160,2020-03-01 08:04:31,False,,"#coronavirus, #USA, #Italy, #Japan"
RT @CDCtravel: #CDCTRAVELNOTICE: #Coronavirus in #Italy and #Iran. CDC recommends avoiding all nonessential travel to Italy and Iran. More…,hscchiba,,0,296,1420,13855,2020-03-01 08:04:14,False,,"#CDCTRAVELNOTICE, #Coronavirus, #Italy, #Iran"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,marco_tomietto,,0,397,243,1630,2020-03-01 08:02:24,False,,"#Italy, #COVID19"
"RT @SputnikInt: #Italy’s #coronavirus infection tally passes 1,000 with 29 deaths – official https://t.co/vmHZd3NCzs",PrincessBibiRF_,,0,15,11644,589495,2020-03-01 08:00:59,False,,"#Italy, #coronavirus"
"RT @TPE_connect: Italy reports more than 1,000 coronavirus cases and 29 deaths #Europe #Italy #Coronavirus #COVID19 #COVID #COVID2019 #Coro…",Pixieblue247,North West ,0,4,4087,150960,2020-03-01 08:00:02,False,,"#Europe, #Italy, #Coronavirus, #COVID19, #COVID, #COVID2019"
"RT @SputnikInt: #Brazil confirms second #coronavirus case, patient arrived from #Italy https://t.co/5QanOCN8UV",PrincessBibiRF_,,0,16,11644,589495,2020-03-01 07:59:58,False,,"#Brazil, #coronavirus, #Italy"
"RT @IndoPac_Info: #coronavirus Worldwide Case Count:   Just updated: New cases in 33 countries  New deaths in #USA, #Italy, #Japan &amp; #Austr…",maxfungo5566,"Wedding, Berlin",0,54,17,2446,2020-03-01 07:59:24,False,,"#coronavirus, #USA, #Italy, #Japan"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,bernardmaillet,"Antwerp, Belgium",0,397,96,1740,2020-03-01 07:59:05,False,,"#Italy, #COVID19"
"RT @SputnikInt: #Turkey grounds flights to #Italy, #Iraq, South Korea over #coronavirus https://t.co/EUi5tCaLcY",PrincessBibiRF_,,0,15,11644,589495,2020-03-01 07:58:52,False,,"#Turkey, #Italy, #Iraq, #coronavirus"
