tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
"RT @TheKoreaHerald: #Luxembourg reports first coronavirus case, linked to #Italy #COVID19 #Corona #Coronavirus #CoronavirusOutbreak  https:…",mmujie,Malaysia,0,6,700,107672,2020-03-01 03:05:45,False,,"#Luxembourg, #Italy, #COVID19, #Corona, #Coronavirus, #CoronavirusOutbreak"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,NIMRTanga,Tanga City Tanzania,0,354,1357,8777,2020-03-01 03:05:19,False,,"#Italy, #COVID19"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,bisamkatze,猫屋敷のある場所,0,354,216,24341,2020-03-01 03:05:19,False,,"#Italy, #COVID19"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,prashantsharmab,"Kanpur, India",0,354,1298,6721,2020-03-01 03:05:15,False,,"#Italy, #COVID19"
#CDCTRAVELNOTICE: #Coronavirus in #Italy and #Iran. CDC recommends avoiding all nonessential travel to Italy and Ir… https://t.co/7fhI0JFTAy,Edwards_AFB_EM,"Edwards, Ca",1,2,152,836,2020-03-01 03:04:11,False,,"#CDCTRAVELNOTICE, #Coronavirus, #Italy, #Iran"
"RT @globaltimesnews: Starting Saturday noon, travelers who have visited #Italy and #Iran 14 days prior to their entry to #Macao shall under…",XiaociDeng,,0,10,0,233,2020-03-01 03:00:15,False,,"#Italy, #Iran, #Macao"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,AB_Owl,Breathing down your timeline.,0,354,5549,420518,2020-03-01 02:58:50,False,,"#Italy, #COVID19"
"RT @HealthcareGlob1: Coronavirus live updates: 4 unrelated cases in the West Coast, US issues level 3 advisory for Italy - #Italy #COVID19…",HealthcareGlob1,USA,0,2,1263,26531,2020-03-01 02:56:29,False,,"#Italy, #COVID19"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,Operafirst,,0,354,869,24705,2020-03-01 02:55:29,False,,"#Italy, #COVID19"
"RT @11GroupLtd: Well, the new situation right now.  #coronavirus #China #Italy #covid19 #Wuhanoutbreak #chinanews #virus #Corona #news #jap…",karissalouis12,,0,41,0,8,2020-03-01 02:55:26,False,,"#coronavirus, #China, #Italy, #covid19, #Wuhanoutbreak, #chinanews, #virus, #Corona, #news"
"My beloved Home of the Espresso, pray for the people of wonderful, beautiful Italy https://t.co/yuPM0t2kcn #italy… https://t.co/K3fQrV3YdL",sydneycafes,"Sydney, Australia",3,0,16930,28160,2020-03-01 02:54:29,False,,#italy
